Path,Cycles,Box 0 volume,Box 0 energy,Box 0 pressure,Box 0 mol 0,Box 0 mol 1,Box 0 mol 2,Box 0 mol 3,Box 0 mol 4,Box 0 mol 5,Box 0 mol 6,Box 0 mol 7,Box 1 volume,Box 1 energy,Box 1 pressure,Box 1 mol 0,Box 1 mol 1,Box 1 mol 2,Box 1 mol 3,Box 1 mol 4,Box 1 mol 5,Box 1 mol 6,Box 1 mol 7
simulations/P0-T0-X0/1,41898,0.000000,-82130.960373,173.647644,10.920593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17348302.825041,-582.348325,2.489249,69.079407,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P0-T0-X0/2,34989,0.000000,-76879.161565,155.199512,10.261082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17437270.818525,-572.301465,2.509025,69.738918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P1-T0-X0/1,41385,0.000000,-138562.936813,370.799025,18.346816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7680248.791710,-1023.383382,5.010387,61.653184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P1-T0-X0/2,36986,0.000000,-136760.011734,354.066662,18.116936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7725716.199972,-1001.692908,4.997102,61.883064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P2-T0-X0/1,40584,0.000000,-203211.055342,734.612273,26.789868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3261958.723037,-1748.622945,9.987724,53.210132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P2-T0-X0/2,42111,0.000000,-196817.277196,692.813702,26.008050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3327999.624544,-1793.447356,10.002921,53.991950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P3-T0-X0/1,39560,0.000000,-246654.565723,1146.584962,32.542669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1413413.468790,-3328.930986,19.955504,47.457331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P3-T0-X0/2,38109,0.000000,-252335.770815,1194.339815,33.205936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1394077.457952,-3303.859533,20.042464,46.794064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P0-T1-X0/1,33466,0.000000,-52428.427664,100.692104,7.047421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9787809.627505,-963.976984,4.992310,72.952579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P0-T1-X0/2,36002,0.000000,-53216.484751,106.400827,7.148075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9793738.055058,-997.068007,4.985599,72.851925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
