Path,Cycles,Box 0 volume,Box 0 energy,Box 0 pressure,Box 0 mol 0,Box 0 mol 1,Box 0 mol 2,Box 0 mol 3,Box 0 mol 4,Box 0 mol 5,Box 0 mol 6,Box 0 mol 7,Box 1 volume,Box 1 energy,Box 1 pressure,Box 1 mol 0,Box 1 mol 1,Box 1 mol 2,Box 1 mol 3,Box 1 mol 4,Box 1 mol 5,Box 1 mol 6,Box 1 mol 7
simulations/P0-T0-X0/1,40498,0.000000,-178095.423083,493.334151,22.128722,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14537730.725734,-462.718118,2.504343,57.871278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P0-T0-X0/2,41599,0.000000,-190172.972908,548.649459,23.588211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14117797.130841,-444.155740,2.501997,56.411789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P1-T0-X0/1,47385,0.000000,-272869.146565,979.131337,33.592339,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5831293.485317,-748.638326,5.001438,46.407661,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P1-T0-X0/2,43583,0.000000,-257704.597894,881.664008,31.823394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6045629.221843,-792.834708,5.004943,48.176606,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P2-T0-X0/1,44900,0.000000,-360500.356570,1898.193869,43.988886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2241382.111822,-1135.958693,10.008350,36.011114,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P2-T0-X0/2,39208,0.000000,-331507.680065,1516.543909,40.714574,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2451138.530368,-1279.051743,9.982592,39.285426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P3-T0-X0/1,38842,0.000000,-444667.774316,3204.254518,53.712373,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,789920.582312,-1834.038990,20.307022,26.287627,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P3-T0-X0/2,43102,0.000000,-479264.548977,3476.768340,57.509280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,690268.400208,-1457.447141,20.061034,22.490720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P0-T1-X0/1,39531,0.000000,-98845.592902,227.033568,12.524120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9083669.553629,-920.176875,5.003450,67.475880,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P0-T1-X0/2,38686,0.000000,-109404.944398,224.532869,13.800936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8861394.587080,-895.146626,5.008063,66.199064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
